Sat.Feb.18.2017.11.46.AM
Match Number: 0 
time,	robotMode,	FMSConnected,	leftTank,	rightTank,	yaw,	yAxisAccel,	isMoving,	leftDistance,	rightDistance,	PDP2,	PDP4,	PDP1,	PDP0,	PDP15,	PDP12,	PDP13,	PDP14,	voltage,	PCMCurrent,	PCMInputVolt,	PCMSolenoidVolt,	pincherState,	armState,
int,	string,	boolean,	float,	float,	float,	float,	boolean,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	float,	string,	string,
Time (ms),	Robot Mode,	FMS Connected,	Left Tank,	Right Tank,	Yaw,	Y-Axis Acceleration,	Moving?,	Left Distance,	Right Distance,	PWM 0 PDP 2 (L Drive),	PWM 1 PDP 4 (Scaler),	PWM 2 PDP 1 (Intake),	PWM 3 PDP 0 (L Drive),	PWM 4 PDP 15 (L Drive),	PWM 5 PDP 12 (R Drive),	PWM 6 PDP 13 (R Drive),	PWM 7 PDP 14 (R Drive),	Voltage,	PCM Current,	PCM Input Voltage,	PCM Solenoid Volt,	Pincher State,	Arm State,
1900,Tele Enable,FALSE,-0.238,0.000,-5.810,-0.098,TRUE,0.346,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,8.594,11.850,11.469,Open,Down,
1950,Tele Enable,FALSE,-0.238,0.000,-5.810,-0.039,TRUE,1.730,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,8.688,11.850,11.469,Open,Down,
2000,Tele Enable,FALSE,-0.238,0.000,-5.810,0.735,TRUE,3.397,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,8.688,11.900,11.469,Open,Down,
2050,Tele Enable,FALSE,-0.368,0.000,-5.810,0.242,TRUE,5.242,0.000,0.000,0.000,0.000,2.625,2.375,0.000,0.000,0.000,12.550,8.656,11.850,11.438,Open,Down,
2100,Tele Enable,FALSE,-0.469,0.000,-5.810,0.415,TRUE,8.331,0.000,1.500,0.000,0.000,3.250,2.500,0.000,0.000,0.000,12.500,8.594,11.650,11.281,Open,Down,
2150,Tele Enable,FALSE,-0.469,0.000,-5.810,0.682,TRUE,13.176,0.000,1.625,0.000,0.000,2.750,0.000,0.000,0.000,0.000,12.450,8.844,11.700,11.312,Open,Down,
2200,Tele Enable,FALSE,-0.583,0.000,-5.800,0.876,TRUE,18.726,0.000,2.250,0.000,0.000,3.875,3.500,0.000,0.000,0.000,12.400,8.531,11.650,11.281,Open,Down,
2250,Tele Enable,FALSE,-0.684,0.000,-5.800,0.558,TRUE,25.968,0.000,2.875,0.000,0.000,4.625,3.375,0.000,0.000,0.000,12.300,8.656,11.550,11.156,Open,Down,
2300,Tele Enable,FALSE,-0.684,0.000,-5.820,-0.245,TRUE,34.479,0.000,2.500,0.000,0.000,3.625,2.875,0.000,0.000,0.000,12.400,8.781,11.650,11.281,Open,Down,
2350,Tele Enable,FALSE,-0.750,0.000,-5.820,-0.524,TRUE,43.054,0.000,1.750,0.000,0.000,3.500,2.750,0.000,0.000,0.000,12.250,8.781,11.650,11.281,Open,Down,
2400,Tele Enable,FALSE,-0.750,0.000,-5.820,0.052,TRUE,50.040,0.000,2.875,0.000,0.000,5.250,4.000,0.000,0.000,0.000,12.300,8.531,11.600,11.156,Open,Down,
2450,Tele Enable,FALSE,-0.750,0.000,-5.810,0.752,TRUE,59.640,0.000,1.875,0.000,0.000,4.000,3.125,0.000,0.000,0.000,12.400,8.781,11.650,11.281,Open,Down,
2500,Tele Enable,FALSE,-0.820,0.000,-5.820,0.011,TRUE,66.856,0.000,2.125,0.000,0.000,4.250,5.125,0.000,0.000,0.000,12.200,8.500,11.450,11.062,Open,Down,
2550,Tele Enable,FALSE,-0.938,0.000,-5.830,-0.582,TRUE,77.815,0.000,3.875,0.000,0.000,7.125,5.625,0.000,0.000,0.000,12.100,8.500,11.450,11.062,Open,Down,
2600,Tele Enable,FALSE,-0.969,0.000,-5.830,0.414,TRUE,89.671,0.000,3.750,0.000,0.000,6.750,5.875,0.000,0.000,0.000,12.100,8.656,11.400,11.031,Open,Down,
2650,Tele Enable,FALSE,-1.000,0.000,-5.820,0.452,TRUE,102.412,0.000,3.125,0.000,0.000,6.625,4.875,0.000,0.000,0.000,12.200,8.656,11.400,11.062,Open,Down,
2700,Tele Enable,FALSE,-1.000,0.000,-5.820,0.074,TRUE,115.934,0.000,2.500,0.000,0.000,5.625,4.625,0.000,0.000,0.000,12.200,8.688,11.500,11.125,Open,Down,
2750,Tele Enable,FALSE,-0.448,0.000,-5.830,0.098,TRUE,132.700,0.000,2.250,0.000,0.000,3.500,3.125,0.000,0.000,0.000,12.550,9.094,12.300,11.938,Open,Down,
2800,Tele Enable,FALSE,-0.027,0.000,-5.840,-0.413,TRUE,138.160,0.000,1.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,8.656,11.900,11.531,Open,Down,
2850,Tele Enable,FALSE,-0.000,0.000,-5.830,-0.118,TRUE,138.544,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,8.656,11.850,11.469,Open,Down,
2900,Tele Enable,FALSE,0.000,0.000,-5.840,-0.335,TRUE,138.544,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,8.750,11.800,11.438,Open,Down,
2950,Tele Enable,FALSE,0.000,0.000,-5.840,-0.350,TRUE,138.544,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,8.688,11.850,11.438,Open,Down,
3000,Tele Enable,FALSE,0.000,0.000,-5.850,-0.378,TRUE,138.544,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,8.750,11.850,11.438,Open,Down,
3050,Tele Enable,FALSE,0.000,0.000,-5.850,-0.396,TRUE,138.544,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,8.750,11.850,11.469,Open,Down,
3100,Tele Enable,FALSE,0.000,0.000,-5.850,-0.477,TRUE,138.544,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.600,8.781,11.800,11.438,Open,Down,
3150,Tele Enable,FALSE,0.000,0.000,-5.840,-0.580,TRUE,138.544,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,8.750,11.850,11.438,Open,Down,
3200,Tele Enable,FALSE,0.000,0.000,-5.850,-0.711,TRUE,138.532,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,8.750,11.850,11.469,Open,Down,
3250,Tele Enable,FALSE,0.000,0.000,-5.850,0.414,TRUE,138.532,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,8.750,11.850,11.438,Open,Down,
3300,Tele Enable,FALSE,0.000,0.000,-5.840,0.534,TRUE,138.532,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,8.750,11.850,11.438,Open,Down,
3350,Tele Enable,FALSE,0.000,0.000,-5.840,-0.434,TRUE,138.532,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,8.781,11.850,11.469,Open,Down,
3400,Tele Disable,FALSE,0.000,0.000,-5.860,-0.420,TRUE,138.532,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,8.781,11.850,11.469,Open,Down,
3450,Tele Disable,FALSE,0.000,0.000,-5.850,0.762,TRUE,138.532,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.550,8.781,11.850,11.469,Open,Down,
